date,value
2020-01-01,10.5
2020-01-02,11.2
2020-01-03,10.8
2020-01-04,12.1
2020-01-05,11.9
2020-01-06,12.5
2020-01-07,13.2
2020-01-08,12.8
2020-01-09,13.5
2020-01-10,14.1
2020-01-11,13.8
2020-01-12,14.5
2020-01-13,15.2
2020-01-14,14.9
2020-01-15,15.6
2020-01-16,16.3
2020-01-17,15.9
2020-01-18,16.7
2020-01-19,17.4
2020-01-20,17.1
2020-01-21,17.8
2020-01-22,18.5
2020-01-23,18.2
2020-01-24,18.9
2020-01-25,19.6
2020-01-26,19.3
2020-01-27,20.0
2020-01-28,20.7
2020-01-29,20.4
2020-01-30,21.1
2020-01-31,21.8
2020-02-01,21.5
2020-02-02,22.2
2020-02-03,22.9
2020-02-04,22.6
2020-02-05,23.3
2020-02-06,24.0
2020-02-07,23.7
2020-02-08,24.4
2020-02-09,25.1
2020-02-10,24.8
2020-02-11,25.5
2020-02-12,26.2
2020-02-13,25.9
2020-02-14,26.6
2020-02-15,27.3
2020-02-16,27.0
2020-02-17,27.7
2020-02-18,28.4
2020-02-19,28.1
2020-02-20,28.8
2020-02-21,29.5
2020-02-22,29.2
2020-02-23,29.9
2020-02-24,30.6
2020-02-25,30.3
2020-02-26,31.0
2020-02-27,31.7
2020-02-28,31.4
2020-02-29,32.1
